,lat,lon,pressure,temperature,humidity
2023-01-01,55.73297695999999,37.54949915000001,98307.80366137771,5.133727032653675,84.97842972131954
2023-01-02,55.73297695999999,37.549499149999995,99209.73103476712,1.6291402612824,71.10203666804311
2023-01-03,55.73297695999999,37.549499149999995,98390.21959095872,2.0154331487109256,79.75496793589689
2023-01-04,55.73297695999998,37.549499149999995,98848.18263559842,-0.8203522915675682,74.27070121993789
2023-01-05,55.73690886833332,37.54335463500001,98445.4052815996,-5.986398714973805,70.0153665770426
2023-01-06,55.73297695999999,37.549499149999995,99783.57560493366,-17.729304840495,57.2534968247257
2023-01-07,55.73297695999998,37.549499149999995,100667.56753487294,-17.11467507953502,57.178996225778114
2023-01-08,55.73297695999999,37.549499149999995,100927.90426687893,-12.774050898438645,61.372681287941944
2023-01-09,55.73297695999998,37.549499149999995,101301.4156224381,-15.744675834622445,64.61112062125154
2023-01-10,55.73297695999998,37.549499149999995,101505.50905189048,-12.109981718352968,58.529576535267616
2023-01-11,55.73297695999999,37.549499149999995,101146.18371099334,-8.453080408211738,51.59810928116395
2023-01-12,55.73297695999999,37.549499149999995,100453.48714941011,-5.449601260300329,59.377515887884314
2023-01-13,55.732976959999974,37.54949915000001,100117.64790396125,-3.438253038920608,71.70608098103735
2023-01-14,55.73297695999999,37.549499149999995,100095.89048455756,-1.0539943371070184,75.84665244498169
2023-01-15,55.73297695999998,37.549499149999995,99921.28026381694,-0.7596792482700058,71.18241469912142
2023-01-16,55.73297695999999,37.549499149999995,99377.53357696244,-2.0799442825371957,74.50239105680751
2023-01-17,55.73297695999999,37.549499149999995,99266.02980049214,0.8384303373873844,79.2250363553026
2023-01-18,55.73297695999999,37.54949914999999,99312.52029086604,1.4751879709308144,76.725682456489
2023-01-19,55.73297695999999,37.549499149999995,99386.17714082128,2.730144174187033,85.53575771054086
2023-01-20,55.732976959999995,37.549499149999995,99879.64949459459,4.233251813442373,73.51556253030583
2023-01-21,55.73297695999999,37.549499149999995,100898.64255090246,-0.8124436818560097,57.43215092793092
2023-01-22,55.73297695999999,37.549499149999995,101425.70729994595,-0.8581764759590605,67.23094153055051
2023-01-23,55.73297695999999,37.54949915000001,101791.19597798074,-0.6853387499894443,69.58210086108976
2023-01-24,55.73297695999998,37.549499149999995,101291.15488249042,0.6894281816538591,69.13814537402072
2023-01-25,55.73297695999998,37.549499149999995,100587.94154115905,0.3050276755366937,69.51458936250752
2023-01-26,55.732976959999995,37.54949915000001,99864.21580354837,-0.3930437785114499,72.28420573115453
2023-01-27,55.73297695999999,37.549499149999995,99856.21399571786,-0.2842824237363627,74.21270204516665
2023-01-28,55.73297695999999,37.549499149999995,100038.08209569854,0.0454992172623429,71.6833993022555
2023-01-29,55.73297695999998,37.549499149999995,99088.3735314391,-0.2503964025092889,66.52653296596189
2023-01-30,55.73297695999999,37.549499149999995,97822.42430039089,-0.07319031159105394,73.87416783716911
2023-02-01,55.73297695999999,37.549499149999995,98319.3961953303,1.9840136384441618,73.409849356993
2023-02-02,55.73297695999999,37.54949915000001,98541.58976238595,1.057907887064845,68.94695742383595
2023-02-03,55.73297695999998,37.549499149999995,98691.68252454237,2.1395191374754003,76.1664128375439
2023-02-04,55.73297695999999,37.549499149999995,99469.34545567147,2.2984208844620926,72.20475349994236
